RUN	viadeGatling.LoginTest	logintest	1588371484821	 	3.2.1
USER	LoginTest	5	START	1588371487276	1588371487276
USER	LoginTest	9	START	1588371487327	1588371487327
USER	LoginTest	4	START	1588371487244	1588371487244
USER	LoginTest	10	START	1588371487328	1588371487328
USER	LoginTest	7	START	1588371487250	1588371487250
USER	LoginTest	3	START	1588371487241	1588371487241
USER	LoginTest	2	START	1588371487240	1588371487240
USER	LoginTest	12	START	1588371487329	1588371487329
USER	LoginTest	14	START	1588371487329	1588371487329
USER	LoginTest	17	START	1588371487330	1588371487330
USER	LoginTest	18	START	1588371487331	1588371487331
USER	LoginTest	6	START	1588371487250	1588371487250
USER	LoginTest	20	START	1588371487332	1588371487332
USER	LoginTest	8	START	1588371487283	1588371487283
USER	LoginTest	22	START	1588371487333	1588371487333
USER	LoginTest	23	START	1588371487334	1588371487334
USER	LoginTest	24	START	1588371487335	1588371487335
USER	LoginTest	13	START	1588371487329	1588371487329
USER	LoginTest	26	START	1588371487344	1588371487344
USER	LoginTest	1	START	1588371487226	1588371487226
USER	LoginTest	27	START	1588371487345	1588371487345
USER	LoginTest	11	START	1588371487328	1588371487328
USER	LoginTest	19	START	1588371487332	1588371487332
USER	LoginTest	16	START	1588371487330	1588371487330
USER	LoginTest	31	START	1588371487351	1588371487351
USER	LoginTest	33	START	1588371487351	1588371487351
USER	LoginTest	34	START	1588371487352	1588371487352
USER	LoginTest	30	START	1588371487350	1588371487350
USER	LoginTest	35	START	1588371487353	1588371487353
USER	LoginTest	32	START	1588371487351	1588371487351
USER	LoginTest	38	START	1588371487354	1588371487354
USER	LoginTest	36	START	1588371487354	1588371487354
USER	LoginTest	39	START	1588371487355	1588371487355
USER	LoginTest	40	START	1588371487355	1588371487355
USER	LoginTest	41	START	1588371487356	1588371487356
USER	LoginTest	43	START	1588371487357	1588371487357
USER	LoginTest	25	START	1588371487337	1588371487337
USER	LoginTest	28	START	1588371487349	1588371487349
USER	LoginTest	42	START	1588371487356	1588371487356
USER	LoginTest	15	START	1588371487329	1588371487329
USER	LoginTest	37	START	1588371487354	1588371487354
USER	LoginTest	29	START	1588371487350	1588371487350
USER	LoginTest	49	START	1588371487407	1588371487407
USER	LoginTest	21	START	1588371487332	1588371487332
USER	LoginTest	45	START	1588371487393	1588371487393
USER	LoginTest	46	START	1588371487405	1588371487405
USER	LoginTest	50	START	1588371487408	1588371487408
USER	LoginTest	48	START	1588371487408	1588371487408
USER	LoginTest	47	START	1588371487406	1588371487406
USER	LoginTest	52	START	1588371487408	1588371487408
USER	LoginTest	54	START	1588371487410	1588371487410
USER	LoginTest	59	START	1588371487411	1588371487411
USER	LoginTest	60	START	1588371487412	1588371487412
USER	LoginTest	61	START	1588371487413	1588371487413
USER	LoginTest	51	START	1588371487408	1588371487408
USER	LoginTest	57	START	1588371487411	1588371487411
USER	LoginTest	58	START	1588371487411	1588371487411
USER	LoginTest	65	START	1588371487428	1588371487428
USER	LoginTest	63	START	1588371487426	1588371487426
USER	LoginTest	56	START	1588371487411	1588371487411
USER	LoginTest	55	START	1588371487410	1588371487410
USER	LoginTest	67	START	1588371487434	1588371487434
USER	LoginTest	70	START	1588371487446	1588371487446
USER	LoginTest	53	START	1588371487410	1588371487410
USER	LoginTest	44	START	1588371487358	1588371487358
USER	LoginTest	71	START	1588371487448	1588371487448
USER	LoginTest	64	START	1588371487428	1588371487428
USER	LoginTest	74	START	1588371487449	1588371487449
USER	LoginTest	76	START	1588371487450	1588371487450
USER	LoginTest	69	START	1588371487446	1588371487446
USER	LoginTest	73	START	1588371487449	1588371487449
USER	LoginTest	72	START	1588371487449	1588371487449
USER	LoginTest	79	START	1588371487452	1588371487452
USER	LoginTest	66	START	1588371487432	1588371487432
USER	LoginTest	82	START	1588371487453	1588371487453
USER	LoginTest	78	START	1588371487452	1588371487452
USER	LoginTest	75	START	1588371487449	1588371487449
USER	LoginTest	80	START	1588371487452	1588371487452
USER	LoginTest	81	START	1588371487453	1588371487453
USER	LoginTest	86	START	1588371487454	1588371487454
USER	LoginTest	85	START	1588371487454	1588371487454
USER	LoginTest	87	START	1588371487454	1588371487454
USER	LoginTest	88	START	1588371487455	1588371487455
USER	LoginTest	83	START	1588371487453	1588371487453
USER	LoginTest	89	START	1588371487455	1588371487455
USER	LoginTest	90	START	1588371487455	1588371487455
USER	LoginTest	92	START	1588371487456	1588371487456
USER	LoginTest	93	START	1588371487456	1588371487456
USER	LoginTest	96	START	1588371487472	1588371487472
USER	LoginTest	97	START	1588371487473	1588371487473
USER	LoginTest	91	START	1588371487456	1588371487456
USER	LoginTest	77	START	1588371487451	1588371487451
USER	LoginTest	84	START	1588371487454	1588371487454
USER	LoginTest	99	START	1588371487474	1588371487474
USER	LoginTest	94	START	1588371487468	1588371487468
USER	LoginTest	100	START	1588371487475	1588371487475
USER	LoginTest	62	START	1588371487413	1588371487413
USER	LoginTest	98	START	1588371487474	1588371487474
USER	LoginTest	95	START	1588371487472	1588371487472
USER	LoginTest	68	START	1588371487435	1588371487435
REQUEST	7		request_0	1588371487310	1588371490715	OK	 
REQUEST	9		request_0	1588371487327	1588371490714	OK	 
REQUEST	8		request_0	1588371487310	1588371490715	OK	 
REQUEST	2		request_0	1588371487311	1588371490833	OK	 
REQUEST	3		request_0	1588371487314	1588371490991	OK	 
REQUEST	1		request_0	1588371487312	1588371490995	OK	 
REQUEST	6		request_0	1588371487313	1588371491006	OK	 
REQUEST	4		request_0	1588371487312	1588371491014	OK	 
REQUEST	11		request_0	1588371487330	1588371491027	OK	 
REQUEST	10		request_0	1588371487329	1588371491082	OK	 
REQUEST	12		request_0	1588371487330	1588371491087	OK	 
REQUEST	5		request_0	1588371487311	1588371491120	OK	 
REQUEST	20		request_0	1588371487332	1588371491135	OK	 
REQUEST	19		request_0	1588371487332	1588371491136	OK	 
REQUEST	14		request_0	1588371487330	1588371491149	OK	 
REQUEST	18		request_0	1588371487331	1588371491186	OK	 
REQUEST	24		request_0	1588371487336	1588371491188	OK	 
REQUEST	23		request_0	1588371487334	1588371491190	OK	 
REQUEST	37		request_0	1588371487406	1588371491183	OK	 
REQUEST	27		request_0	1588371487346	1588371491212	OK	 
REQUEST	22		request_0	1588371487333	1588371491280	OK	 
REQUEST	31		request_0	1588371487351	1588371491296	OK	 
REQUEST	28		request_0	1588371487350	1588371491302	OK	 
REQUEST	29		request_0	1588371487393	1588371491304	OK	 
REQUEST	26		request_0	1588371487345	1588371491333	OK	 
REQUEST	35		request_0	1588371487353	1588371491344	OK	 
REQUEST	16		request_0	1588371487350	1588371491355	OK	 
REQUEST	32		request_0	1588371487354	1588371491372	OK	 
REQUEST	36		request_0	1588371487355	1588371491376	OK	 
REQUEST	30		request_0	1588371487351	1588371491393	OK	 
REQUEST	34		request_0	1588371487353	1588371491398	OK	 
REQUEST	39		request_0	1588371487355	1588371491400	OK	 
REQUEST	8		request_1	1588371490956	1588371491412	OK	 
REQUEST	4		request_1	1588371491068	1588371491416	OK	 
REQUEST	41		request_0	1588371487357	1588371491425	OK	 
REQUEST	12		request_1	1588371491105	1588371491420	OK	 
REQUEST	20		request_1	1588371491152	1588371491432	OK	 
REQUEST	24		request_1	1588371491232	1588371491434	OK	 
REQUEST	28		request_1	1588371491336	1588371491436	OK	 
REQUEST	38		request_0	1588371487355	1588371491448	OK	 
REQUEST	33		request_0	1588371487352	1588371491444	OK	 
REQUEST	42		request_0	1588371487406	1588371491464	OK	 
REQUEST	16		request_1	1588371491356	1588371491479	OK	 
REQUEST	32		request_1	1588371491373	1588371491481	OK	 
REQUEST	36		request_1	1588371491378	1588371491482	OK	 
REQUEST	43		request_0	1588371487357	1588371491475	OK	 
REQUEST	40		request_0	1588371487356	1588371491495	OK	 
REQUEST	46		request_0	1588371487410	1588371491513	OK	 
REQUEST	48		request_0	1588371487410	1588371491529	OK	 
REQUEST	52		request_0	1588371487411	1588371491547	OK	 
REQUEST	15		request_0	1588371487393	1588371491570	OK	 
REQUEST	60		request_0	1588371487412	1588371491610	OK	 
REQUEST	13		request_0	1588371487344	1588371491620	OK	 
REQUEST	50		request_0	1588371487410	1588371491622	OK	 
REQUEST	92		request_0	1588371487457	1588371491625	OK	 
REQUEST	88		request_0	1588371487456	1588371491654	OK	 
REQUEST	25		request_0	1588371487343	1588371491646	OK	 
REQUEST	54		request_0	1588371487411	1588371491662	OK	 
REQUEST	17		request_0	1588371487331	1588371491701	OK	 
REQUEST	72		request_0	1588371487452	1588371491709	OK	 
REQUEST	7		request_1	1588371490939	1588371491716	OK	 
REQUEST	3		request_1	1588371490997	1588371491716	OK	 
REQUEST	11		request_1	1588371491065	1588371491717	OK	 
REQUEST	58		request_0	1588371487427	1588371491715	OK	 
REQUEST	70		request_0	1588371487447	1588371491730	OK	 
REQUEST	19		request_1	1588371491164	1588371491759	OK	 
REQUEST	23		request_1	1588371491195	1588371491761	OK	 
REQUEST	27		request_1	1588371491235	1588371491762	OK	 
REQUEST	80		request_0	1588371487454	1588371491775	OK	 
REQUEST	31		request_1	1588371491310	1588371491776	OK	 
REQUEST	74		request_0	1588371487450	1588371491778	OK	 
REQUEST	35		request_1	1588371491385	1588371491779	OK	 
REQUEST	39		request_1	1588371491401	1588371491784	OK	 
REQUEST	66		request_0	1588371487452	1588371491792	OK	 
REQUEST	43		request_1	1588371491520	1588371491796	OK	 
REQUEST	15		request_1	1588371491607	1588371491812	OK	 
REQUEST	47		request_0	1588371487410	1588371491814	OK	 
REQUEST	61		request_0	1588371487413	1588371491813	OK	 
REQUEST	82		request_0	1588371487453	1588371491836	OK	 
REQUEST	76		request_0	1588371487451	1588371491843	OK	 
REQUEST	78		request_0	1588371487454	1588371491854	OK	 
REQUEST	53		request_0	1588371487427	1588371491860	OK	 
REQUEST	51		request_0	1588371487411	1588371491878	OK	 
REQUEST	64		request_0	1588371487428	1588371491876	OK	 
REQUEST	57		request_0	1588371487427	1588371491884	OK	 
REQUEST	86		request_0	1588371487455	1588371491891	OK	 
REQUEST	44		request_0	1588371487423	1588371491928	OK	 
REQUEST	59		request_0	1588371487412	1588371491953	OK	 
REQUEST	90		request_0	1588371487456	1588371491957	OK	 
REQUEST	56		request_0	1588371487426	1588371491956	OK	 
REQUEST	49		request_0	1588371487408	1588371491974	OK	 
REQUEST	96		request_0	1588371487473	1588371491988	OK	 
REQUEST	55		request_0	1588371487424	1588371491991	OK	 
REQUEST	84		request_0	1588371487475	1588371492009	OK	 
REQUEST	45		request_0	1588371487407	1588371492011	OK	 
REQUEST	68		request_0	1588371487492	1588371492028	OK	 
REQUEST	75		request_0	1588371487454	1588371492043	OK	 
REQUEST	21		request_0	1588371487408	1588371492047	OK	 
REQUEST	2		request_1	1588371490957	1588371492051	OK	 
REQUEST	6		request_1	1588371491027	1588371492052	OK	 
REQUEST	10		request_1	1588371491103	1588371492103	OK	 
REQUEST	79		request_0	1588371487452	1588371492111	OK	 
REQUEST	71		request_0	1588371487449	1588371492116	OK	 
REQUEST	100		request_0	1588371487490	1588371492134	OK	 
REQUEST	65		request_0	1588371487429	1588371492141	OK	 
REQUEST	14		request_1	1588371491159	1588371492127	OK	 
REQUEST	18		request_1	1588371491194	1588371492148	OK	 
REQUEST	67		request_0	1588371487445	1588371492156	OK	 
REQUEST	40		request_1	1588371491497	1588371492173	OK	 
REQUEST	48		request_1	1588371491531	1588371492173	OK	 
REQUEST	52		request_1	1588371491563	1588371492174	OK	 
REQUEST	60		request_1	1588371491611	1588371492213	OK	 
REQUEST	73		request_0	1588371487449	1588371492214	OK	 
REQUEST	92		request_1	1588371491638	1588371492215	OK	 
REQUEST	88		request_1	1588371491658	1588371492243	OK	 
REQUEST	72		request_1	1588371491713	1588371492259	OK	 
REQUEST	80		request_1	1588371491796	1588371492263	OK	 
REQUEST	85		request_0	1588371487455	1588371492271	OK	 
REQUEST	76		request_1	1588371491847	1588371492279	OK	 
REQUEST	81		request_0	1588371487454	1588371492283	OK	 
